time,pointdum,shock,G,Y,B,I,C,rRB,LP_cap,LP_houses,LP_bonds,LP_cappc,pi,longRB
 1, 1,Gshock, 1.0000 , 0.1335 , 0.0541 , -0.2946 , 0.0038 , 0.0297 , -0.2242, -0.0286 , -0.0062 , -0.1041, -0.0031 , -0.0049 
 1, 0,Gshock, 10000.00000 , 0.06228 , 0.07757 , 0.20273 , 0.06263 , 0.08796 , 0.16770, 0.02385 , 0.00647 , 0.10752, 0.08224 , 0.01681  
 2, 1,Gshock, 1.2857 , 0.1367 , 0.0828 , -0.5207 , -0.0010 , 0.4307 , -0.5617, -0.0396 , -0.0186 , -0.2607, -0.3686 , 0.0038 
 2, 0,Gshock, 0.08680 , 0.04242 , 0.06635 , 0.24227 , 0.03954 , 0.14508 , 0.26452, 0.02659 , 0.00554 , 0.13846, 0.13723 , 0.01277  
 3, 1,Gshock, 1.5415 , 0.1937 , 0.3004 , -0.4195 , -0.0330 , 0.2513 , -0.1745, -0.1057 , -0.0019 , -0.1022, -0.2044 , -0.0345 
 3, 0,Gshock, 0.08992 , 0.09349 , 0.12678 , 0.30313 , 0.09017 , 0.08189 , 0.12240, 0.06382 , 0.00678 , 0.08676, 0.07143 , 0.02452  
 4, 1,Gshock, 1.6359 , 0.1429 , 0.5123 , -0.9451 , 0.0076 , 0.3375 , -0.4432, -0.1846 , -0.0023 , -0.2536, -0.3013 , -0.0512 
 4, 0,Gshock, 0.11586 , 0.07229 , 0.13783 , 0.33809 , 0.07392 , 0.14405 , 0.26965, 0.06523 , 0.00686 , 0.17454, 0.11378 , 0.02313  
 5, 1,Gshock, 1.6354 , 0.0891 , 0.8214 , -1.2380 , 0.0089 , 0.3241 , -0.4637, -0.2805 , -0.0058 , -0.3107, -0.3137 , -0.0790 
 5, 0,Gshock, 0.13463 , 0.10738 , 0.18107 , 0.34379 , 0.07760 , 0.08141 , 0.13566, 0.08905 , 0.00835 , 0.10010, 0.07418 , 0.02899  
 6, 1,Gshock, 1.4610 , 0.0742 , 0.9609 , -1.3724 , 0.0752 , 0.2724 , -0.6069, -0.3287 , -0.0227 , -0.3993, -0.2565 , -0.0738 
 6, 0,Gshock, 0.15128 , 0.09212 , 0.19005 , 0.34002 , 0.09482 , 0.09064 , 0.17700, 0.10074 , 0.00821 , 0.12593, 0.07797 , 0.02812  
 7, 1,Gshock, 1.3924 , 0.1399 , 1.0599 , -0.9966 , 0.1438 , 0.1668 , -0.3420, -0.3038 , -0.0240 , -0.2675, -0.1616 , -0.0725 
 7, 0,Gshock, 0.19967 , 0.13467 , 0.21268 , 0.38207 , 0.09416 , 0.07052 , 0.17056, 0.09815 , 0.00928 , 0.10603, 0.07322 , 0.02716  
 8, 1,Gshock, 1.2424 , 0.1764 , 1.1745 , -0.5703 , 0.1530 , 0.3230 , -0.5213, -0.2323 , -0.0222 , -0.3160, -0.3419 , -0.0846 
 8, 0,Gshock, 0.20425 , 0.10411 , 0.24964 , 0.35129 , 0.10421 , 0.09209 , 0.16659, 0.11374 , 0.00930 , 0.12401, 0.08412 , 0.03251  
 9, 1,Gshock, 1.1778 , 0.1624 , 1.3273 , -0.7188 , 0.1764 , 0.2211 , -0.3211, -0.1913 , -0.0135 , -0.1930, -0.2668 , -0.1091 
 9, 0,Gshock, 0.21054 , 0.12037 , 0.22319 , 0.36676 , 0.08577 , 0.06878 , 0.13511, 0.10733 , 0.00944 , 0.09533, 0.06822 , 0.02869  
10, 1,Gshock, 1.0820 , 0.1784 , 1.3647 , -0.5750 , 0.2041 , 0.1370 , -0.0533, -0.1953 , -0.0261 , -0.0855, -0.1699 , -0.0991 
10, 0,Gshock, 0.20215 , 0.10315 , 0.27208 , 0.37414 , 0.10232 , 0.06947 , 0.13870, 0.11077 , 0.00906 , 0.10245, 0.06560 , 0.03375  
11, 1,Gshock, 0.9567 , 0.1982 , 1.4483 , -0.3690 , 0.2796 , 0.0935 , -0.2582, -0.2303 , -0.0321 , -0.1946, -0.1062 , -0.0899 
11, 0,Gshock, 0.19199 , 0.13123 , 0.26010 , 0.45891 , 0.08552 , 0.07532 , 0.13737, 0.11220 , 0.00969 , 0.08783, 0.07348 , 0.03008  
